Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR069257	SRX028831	ILLUMINA	GSM609221: 1182-4H (Celniker/RNA:39) extraction1_seq1 aliquote 1	SINGLE	SRS117375	Drosophila melanogaster	GSM609221
SRR069258	SRX028832	ILLUMINA	GSM609217: ML-DmD20-c5 (Celniker/RNA:187) extraction1_seq1 aliquote 1	SINGLE	SRS117376	Drosophila melanogaster	GSM609217
SRR069259	SRX028833	ILLUMINA	GSM609218: Sg4 (Celniker/RNA:201) extraction1_seq1 aliquote 1	SINGLE	SRS117377	Drosophila melanogaster	GSM609218
SRR069262	SRX028836	ILLUMINA	GSM609229: embryos,14-24 hr after egg laying (Celniker/RNA:253,259,265,277) extraction1-4	SINGLE	SRS117379	Drosophila melanogaster	GSM609229
SRR069266	SRX028838	ILLUMINA	GSM609230: Tissue:Adult_ovaries:EL:1 extraction1_seq1 aliquote 1_Ago1IP_2744	SINGLE	SRS117381	Drosophila melanogaster	GSM609230
SRR069268	SRX028839	ILLUMINA	GSM609231: Tissue:Adult_ovaries:EL:1 extraction1_seq1 aliquote 1_Ago1IP_2746	SINGLE	SRS117382	Drosophila melanogaster	GSM609231
SRR069271	SRX028840	ILLUMINA	GSM609235: CME L1 (Celniker/RNA:85) extraction1_seq1 aliquote 1	SINGLE	SRS117383	Drosophila melanogaster	GSM609235
SRR069274	SRX028841	ILLUMINA	GSM609236: Tissue:Adult_ovaries:EL:1 extraction1_seq1 aliquote 1_Ago1IP_2747	SINGLE	SRS117384	Drosophila melanogaster	GSM609236
SRR069299	SRX028867	ILLUMINA	GSM609226: CME W1 Cl.8+ (Celniker/RNA:63) extraction1_seq1 aliquote 1	SINGLE	SRS117409	Drosophila melanogaster	GSM609226
SRR069300	SRX028868	ILLUMINA	GSM609227: CME W1 Cl.8+ (Celniker/RNA:59) extraction2_seq1 aliquote 1	SINGLE	SRS117410	Drosophila melanogaster	GSM609227
SRR069503	SRX028908	ILLUMINA	GSM609239: V002 extraction1_seq1 aliquote 1	SINGLE	SRS117430	Drosophila melanogaster	GSM609239
SRR069504	SRX028909	ILLUMINA	GSM609240: Lai_CantonS_Embryo_Irradiated extraction1_seq1 aliquote 1	SINGLE	SRS117431	Drosophila melanogaster	GSM609240
SRR069505	SRX028910	ILLUMINA	GSM609247: Lai_Female_Head_HeatShocked_V007 extraction1_seq1 aliquote 1	SINGLE	SRS117432	Drosophila melanogaster	GSM609247
SRR069506	SRX028911	ILLUMINA	GSM609248: ML-DmD9 (Celniker/RNA:73) extraction1_seq1 aliquote 1	SINGLE	SRS117433	Drosophila melanogaster	GSM609248
SRR069508	SRX028913	ILLUMINA	GSM609250: ML-DmD32 (Celniker/RNA:165) extraction1_seq1 aliquote 1	SINGLE	SRS117435	Drosophila melanogaster	GSM609250
SRR069509	SRX028914	ILLUMINA	GSM609251: Lai_Female_Head_Aged_V013 extraction1_seq1 aliquote 1	SINGLE	SRS117436	Drosophila melanogaster	GSM609251
SRR069542	SRX028952	ILLUMINA	GSM609228: S2-DRSC (Celniker/RNA:15) extraction1_seq1 aliquote 1	SINGLE	SRS117448	Drosophila melanogaster	GSM609228
SRR073601	SRX031800	ILLUMINA	GSM628271: r2d2[1] ovary total RNA	SINGLE	SRS139288	Drosophila melanogaster	GSM628271
SRR073602	SRX031801	ILLUMINA	GSM628272: ago2[414] ovary total RNA	SINGLE	SRS139289	Drosophila melanogaster	GSM628272
SRR014395	SRX003194	ILLUMINA	whole_fly_odt_1pmol	SINGLE	SRS002241	Drosophila melanogaster	whole_fly_odt_1pmol
SRR014396	SRX003195	ILLUMINA	whole_fly_odt_2pmol	SINGLE	SRS002242	Drosophila melanogaster	whole_fly_odt_2pmol
SRR014397	SRX003196	ILLUMINA	whole_fly_odt_4pmol	SINGLE	SRS002243	Drosophila melanogaster	whole_fly_odt_4pmol
SRR014394	SRX003193	ILLUMINA	whole_fly_rp_rep2	SINGLE	SRS002240	Drosophila melanogaster	whole_fly_rp_rep2
SRR015084	SRX003836	ILLUMINA	Kc167-2	PAIRED	SRS002589	Drosophila melanogaster	Kc167-2
SRR015086	SRX003836	ILLUMINA	Kc167-2	PAIRED	SRS002589	Drosophila melanogaster	Kc167-2
SRR015088	SRX003836	ILLUMINA	Kc167-2	PAIRED	SRS002589	Drosophila melanogaster	Kc167-2
SRR015090	SRX003837	ILLUMINA	Kc167-4	PAIRED	SRS002590	Drosophila melanogaster	Kc167-4
SRR015092	SRX003837	ILLUMINA	Kc167-4	PAIRED	SRS002590	Drosophila melanogaster	Kc167-4
SRR015094	SRX003838	ILLUMINA	ML-DmBG3-c2-122	PAIRED	SRS002591	Drosophila melanogaster	ML-DmBG3-c2-122
